iteration,swarm,particle,feasible,violation,annual_carbon_offset,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,b_P,b_E_h
1,0,10,1,0.0,-34119.03591561842,0.827584298730376,84.55981904758531,243.20127571074636,16.027910331838925,48.29848453028472,3.238778291679622,127.94674685103227,53.28377381446551,184.33511434745242,60.154693875311295,38.29896441461146
1,0,11,1,0.0,-287186.8067994286,-2.03001315430277,59.18379164793901,335.42538759538047,15.492189129762565,18.384662788481016,8.324180377322296,97.40597594398739,79.29928774000454,184.8763723581515,178.7123651338735,28.931137242799572
1,0,12,1,0.0,-30342.256088379774,0.7934141549553921,89.77797078016046,280.21190110827234,19.34125452084836,33.97955896533368,4.814695437023618,133.08684640174715,1.7273878478400173,168.09448900047295,138.8312367486833,14.442793859575985
1,0,13,1,0.0,-169155.75534928605,-2.165827959047735,77.98169718987256,268.6029921513226,7.032110963336754,18.422704668021385,6.129684196311384,130.44836941218944,51.689272396462094,189.19204919142803,137.378588600304,19.531063675623063
1,0,14,1,0.0,-37457.38100873288,0.7228882686451253,108.62012554361694,258.8098992076634,11.537973878984403,45.13655097570525,8.255745901414771,149.66105920186226,9.0204198581071,205.1689568246804,148.56343391884005,39.95849223644319
1,0,15,1,0.0,-41693.47522257184,0.2580618561793479,26.43931351237931,338.90016917891427,7.437394020145622,32.70018039277299,2.1143798456449736,174.16139898477985,72.65870628525096,184.1460443168756,93.29299350067994,6.490011836384969
1,0,16,1,0.0,-39408.89338442815,0.7449179374270996,86.71716504590201,272.56682922849103,15.830833992055219,43.987204666788315,9.779693545025973,175.48656820674387,1.0542675766501775,171.59868386870184,151.39830123633044,10.178668381411859
1,0,17,1,0.0,-70682.58706723474,-1.8550637882876495,67.31402668245423,208.69407813428057,7.999947873446001,5.833480750727629,8.143279330216785,68.06719697026463,31.08165126272124,205.68487760793545,146.7945923462359,5.146201463127083
1,0,18,1,0.0,-238657.4858525138,-2.6131285105200726,28.116357214770403,299.43654423996213,13.658428829062514,15.705176961852889,9.407925981323144,134.37421251420233,48.20695227224625,185.39459858127427,151.42196531301855,15.230019837265667
1,0,19,1,0.0,-352786.777316498,-3.4083881601273514,53.80431684377011,233.57499983601954,7.792895088205043,47.496757549277014,7.655957155443588,113.37799746498641,20.46731651759909,165.26138890622357,30.44524885829761,19.638998520092347
1,0,20,1,0.0,-10817.479019950259,0.741104831261919,44.297547019351285,311.4149582104735,10.666277589387214,13.082165490183566,1.222108555521981,41.43243734875226,61.14534961487106,177.2218106733627,116.58425799957,36.28016654945232
1,0,21,1,0.0,-41269.77476238787,0.5583239990566705,118.93728421363748,234.70351750375585,14.946173046501512,16.84950695317178,1.1858589951915581,158.92437115214403,28.801543574022105,173.00783365031387,125.89708043964903,33.917744388502854
1,0,22,1,0.0,-43777.794473070106,0.591031266699373,79.18800279502636,339.62410487158326,9.103130522234537,40.91210752606537,2.6707234987535697,191.9745816852306,61.87394487490337,162.9304606268135,190.52670628800635,30.310809043725683
1,0,23,1,0.0,-27125.17322162652,0.27059145787082856,37.93358068545284,234.12991637879713,12.773010708959948,6.154822312453921,2.8672306789699844,102.19652968775607,33.6752982300803,177.81452546188865,69.97316713305175,25.124236472494076
1,0,24,1,0.0,-22810.324294010952,0.5259566804682881,105.02411665155546,218.8050969539253,12.760686607311712,10.943064785531899,7.451737130733343,97.33014947723994,50.88791806726581,160.99679017284473,46.0725966818079,21.570026103362366
1,0,25,1,0.0,-383877.1831731483,-2.1623861561061597,49.11740116349512,350.46911124045005,16.479878807104477,38.68986289327463,9.133477657713401,44.181814025143154,49.69732229301659,185.06856413734613,193.1485481385012,14.51731096453176
1,0,26,1,0.0,-291006.31163361465,-3.5794910852716053,36.49116579069915,216.04703076247966,5.246444443872113,46.828819255648575,7.02924891931819,163.4759950439334,25.355709517855416,185.1846099711796,31.5119479017766,21.482593453646423
1,0,27,1,0.0,-44944.60540868347,0.6373030549304993,117.52446537188915,340.2408392506545,10.072384277552684,48.27065695436743,3.0853146382408405,191.38419981066585,84.72399342358487,197.9521552411435,133.4806286360224,35.474366798498096
