time,Measurement,DA,HA,RT,5%_fc,10%_fc,15%_fc,20%_fc,25%_fc,30%_fc,35%_fc,40%_fc,45%_fc,50%_fc,55%_fc,60%_fc,65%_fc,70%_fc,75%_fc,80%_fc,85%_fc,90%_fc,95%_fc
1/1/2022 8:00,0.12,0.2908,0.019152034,0.1262,0,0,0,0,0,0,0,0.001424976,0.010809103,0.019152034,0.022651651,0.032170179,0.045528455,0.067758063,0.093657839,0.119782457,0.16515674,0.221096947,0.351448464
1/1/2022 8:15,0.0744,0.2793,0.017815327,0.12,0,0,0,0,0,0,0,0.002144376,0.010611106,0.017815327,0.022270861,0.030486688,0.045344155,0.06941419,0.093704876,0.119819766,0.163745691,0.220461676,0.353649998
1/1/2022 8:30,0.0597,0.2678,0.016478619,0.0744,0,0,0,0,0,0,0,0.002863775,0.010413109,0.016478619,0.021890071,0.028803198,0.045159854,0.071070317,0.093751912,0.119857076,0.162334642,0.219826405,0.355851531
1/1/2022 8:45,0.0151,0.2563,0.015141912,0.0597,0,0,0,0,0,0,0,0.003583175,0.010215111,0.015141912,0.021509281,0.027119707,0.044975554,0.072726445,0.093798949,0.119894385,0.160923593,0.219191134,0.358053064
1/1/2022 9:00,0.0089,0.2448,0.013805205,0.0151,0,0,0,0,0,0,0,0.004302574,0.010017114,0.013805205,0.02112849,0.025436217,0.044791253,0.074382572,0.093845985,0.119931694,0.159512544,0.218555862,0.360254598
1/1/2022 9:15,0,0.206175,0.016157296,0.0089,0,0,0,0,0,0,0,0.006030569,0.012111246,0.016157296,0.023176188,0.027782635,0.04795227,0.078118603,0.097366525,0.124535775,0.16480279,0.225655241,0.363052688
1/1/2022 9:30,0,0.16755,0.018509386,0,0,0,0,0,0,0,0,0.007758564,0.014205378,0.018509386,0.025223886,0.030129053,0.051113287,0.081854634,0.100887064,0.129139855,0.170093035,0.232754619,0.365850778
1/1/2022 9:45,0,0.128925,0.020861477,0,0,0,0,0,0,0,0,0.009486559,0.016299509,0.020861477,0.027271585,0.03247547,0.054274303,0.085590666,0.104407604,0.133743935,0.175383281,0.239853997,0.368648868
1/1/2022 10:00,0,0.0903,0.023213567,0,0,0,0,0,0,0,0,0.011214554,0.018393641,0.023213567,0.029319283,0.034821888,0.05743532,0.089326697,0.107928143,0.138348016,0.180673526,0.246953375,0.371446958
1/1/2022 10:15,0,0.07515,0.021335066,0,0,0,0,0,0,0,0,0.010502763,0.017660452,0.021335066,0.027404334,0.03206377,0.053083561,0.083670785,0.102027974,0.131328743,0.174399613,0.237907599,0.371349426
1/1/2022 10:30,0,0.06,0.019456565,0,0,0,0,0,0,0,0,0.009790972,0.016927264,0.019456565,0.025489385,0.029305651,0.048731802,0.078014873,0.096127804,0.12430947,0.1681257,0.228861823,0.371251895
