time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
01/02/2021 15.15,0,0,0,0,0,0,0,0
01/02/2021 15.30,0,0,0,0,0,0,0,0
01/02/2021 15.45,0,0,0,0,0,0,0,0
01/02/2021 16.00,0,0,0,0,0,0,0,0
01/02/2021 16.15,0,0,0,0,0,0,0,0
01/02/2021 16.30,0,0,0,0,0,0,0,0
01/02/2021 16.45,0,0,0,0,0,0,0,0
01/02/2021 17.00,0,0,0,0,0,0,0,0
01/02/2021 17.15,0,0,0,0,0,0,0,0
01/02/2021 17.30,0,0,0,0,0,0,0,0
01/02/2021 17.45,0,0,0,0,0,0,0,0
01/02/2021 18.00,0,0,0,0,0,0,0,0
01/02/2021 18.15,0,0,0,0,0,0,0,0
01/02/2021 18.30,0,0,0,0,0,0,0,0
01/02/2021 18.45,0,0,0,0,0,0,0,0
01/02/2021 19.00,0,0,0,0,0,0,0,0
01/02/2021 19.15,0,0,0,0,0,0,0,0
01/02/2021 19.30,0,0,0,0,0,0,0,0
01/02/2021 19.45,0,0,0,0,0,0,0,0
01/02/2021 20.00,0,0,0,0,0,0,0,0
01/02/2021 20.15,0,0,0,0,0,0,0,0
01/02/2021 20.30,0,0,0,0,0,0,0,0
01/02/2021 20.45,0,0,0,0,0,0,0,0
01/02/2021 21.00,0,0,0,0,0,0,0,0
01/02/2021 21.15,0,0,0,0,0,0,0,0
01/02/2021 21.30,0,0,0,0,0,0,0,0
01/02/2021 21.45,0,0,0,0,0,0,0,0
01/02/2021 22.00,0,0,0,0,0,0,0,0
01/02/2021 22.15,0,0,0,0,0,0,0,0
01/02/2021 22.30,0,0,0,0,0,0,0,0
01/02/2021 22.45,0,0,0,0,0,0,0,0
01/02/2021 23.00,0,0,0,0,0,0,0,0
01/02/2021 23.15,0,0,0,0,0,0,0,0
01/02/2021 23.30,0,0,0,0,0,0,0,0
01/02/2021 23.45,0,0,0,0,0,0,0,0
01/03/2021 00.00,0,0,0,0,0,0,0,0
01/03/2021 00.15,0,0,0,0,0,0,0,0
01/03/2021 00.30,0,0,0,0,0,0,0,0
01/03/2021 00.45,0,0,0,0,0,0,0,0
01/03/2021 01.00,0,0,0,0,0,0,0,0
01/03/2021 01.15,0,0,0,0,0,0,0,0
01/03/2021 01.30,0,0,0,0,0,0,0,0
01/03/2021 01.45,0,0,0,0,0,0,0,0
01/03/2021 02.00,0,0,0,0,0,0,0,0
01/03/2021 02.15,0,0,0,0,0,0,0,0
01/03/2021 02.30,0,0,0,0,0,0,0,0
01/03/2021 02.45,0,0,0,0,0,0,0,0
01/03/2021 03.00,0,0,0,0,0,0,0,0
01/03/2021 03.15,0,0,0,0,0,0,0,0
01/03/2021 03.30,0,0,0,0,0,0,0,0
01/03/2021 03.45,0,0,0,0,0,0,0,0
01/03/2021 04.00,0,0,0,0,0,0,0,0
01/03/2021 04.15,0,0,0,0,0,0,0,0
01/03/2021 04.30,0,0,0,0,0,0,0,0
01/03/2021 04.45,0,0,0,0,0,0,0,0
01/03/2021 05.00,0,0,0,0,0,0,0,0
01/03/2021 05.15,0,0,0,0,0,0,0,0
01/03/2021 05.30,0,0,0,0,0,0,0,0
01/03/2021 05.45,0,0,0,0,0,0,0,0
01/03/2021 06.00,0,0,0,0,0,0,0,0
01/03/2021 06.15,0,0,0,0,0,0,0,0
01/03/2021 06.30,0,0,0,0,0,0,0,0
01/03/2021 06.45,0,0,0,0,0,0,0,0
01/03/2021 07.00,0,0,0,0,0,0,0,0
01/03/2021 07.15,0,0,0,0,0,0,0,0
01/03/2021 07.30,0,0,0,0,0,0,0,0
01/03/2021 07.45,0,0,0,0,0,0,0,0
01/03/2021 08.00,0,0,0,0,0,0,0,0
01/03/2021 08.15,0,0,0,0,0,0,0,0
01/03/2021 08.30,0.0018875,0.001405436,2.09E-06,0.012879641,0.001405436,0,0.001756795,0.001054077
01/03/2021 08.45,0.0062625,0.004216308,6.26E-06,0.038638923,0.004216308,0.0018875,0.005270385,0.003162231
01/03/2021 09.00,0,0,0,0.049008231,0,0.0062625,0,0
01/03/2021 09.15,0.0093125,0,0,0.085027495,0,0,0,0
01/03/2021 09.30,0.0250875,0.026357021,0.000523741,0.121046759,0.026357021,0.0093125,0.032946276,0.019767766
01/03/2021 09.45,0.0408625,0.05658409,0.001537822,0.157066023,0.05658409,0.0250875,0.070730113,0.042438068
01/03/2021 10.00,0.0618875,0.10511957,0,0.299361996,0.10511957,0.0408625,0.131399463,0.078839678
01/03/2021 10.15,0.0741625,0.123141031,0,0.26453012,0.123141031,0.0618875,0.153926289,0.092355773
01/03/2021 10.30,0.0864375,0.141162492,0.012445945,0.229698245,0.141162492,0.0741625,0.176453115,0.105871869
01/03/2021 10.45,0.0987125,0.159183953,0.029191783,0.194866371,0.159183953,0.0864375,0.198979941,0.119387965
01/03/2021 11.00,0.1258,0.221666855,0.041139223,0.097128954,0.221666855,0.0987125,0.277083569,0.166250141
01/03/2021 11.15,0.1282,0.210047355,0.061083992,0.104234107,0.210047355,0.1258,0.262559194,0.157535516
01/03/2021 11.30,0.1306,0.198427855,0.081028762,0.111339259,0.198427855,0.1282,0.248034819,0.148820891
01/03/2021 11.45,0.133,0.186808355,0.100973531,0.118444412,0.186808355,0.1306,0.233510444,0.140106266
01/03/2021 12.00,0.159175,0.181668797,0.169145429,0.104429769,0.181668797,0.133,0.227085996,0.136251598
01/03/2021 12.15,0.145725,0.165729336,0.156938779,0.125614786,0.165729336,0.159175,0.20716167,0.124297002
01/03/2021 12.30,0.132275,0.149789876,0.144732129,0.146799802,0.149789876,0.145725,0.187237345,0.112342407
01/03/2021 12.45,0.118825,0.133850415,0.132525479,0.167984819,0.133850415,0.132275,0.167313019,0.100387811
01/03/2021 13.00,0.1128,0.11824716,0.129688083,0.28368676,0.11824716,0.118825,0.14780895,0.08868537
01/03/2021 13.15,0.0944,0.102083562,0.111235264,0.241860493,0.102083562,0.1128,0.127604453,0.076562672
01/03/2021 13.30,0.076,0.085919964,0.092782444,0.200034227,0.085919964,0.0944,0.107399955,0.064439973
01/03/2021 13.45,0.0576,0.069756366,0.074329625,0.15820796,0.069756366,0.076,0.087195458,0.052317275
01/03/2021 14.00,0.0160625,0.040352634,0.038771667,0.073758153,0.040352634,0.0576,0.050440793,0.030264476
01/03/2021 14.15,0.0130875,0.033015791,0.031722273,0.06034758,0.033015791,0.0160625,0.041269739,0.024761843
01/03/2021 14.30,0.0101125,0.025678949,0.024672879,0.046937006,0.025678949,0.0130875,0.032098686,0.019259212
01/03/2021 14.45,0.0071375,0.018342106,0.017623485,0.033526433,0.018342106,0.0101125,0.022927633,0.01375658
01/03/2021 15.00,0,0,0,0,0,0.0071375,0,0
01/03/2021 15.15,0,0,0,0,0,0,0,0
01/03/2021 15.30,0,0,0,0,0,0,0,0
01/03/2021 15.45,0,0,0,0,0,0,0,0
01/03/2021 16.00,0,0,0,0,0,0,0,0
01/03/2021 16.15,0,0,0,0,0,0,0,0
01/03/2021 16.30,0,0,0,0,0,0,0,0
01/03/2021 16.45,0,0,0,0,0,0,0,0
01/03/2021 17.00,0,0,0,0,0,0,0,0
01/03/2021 17.15,0,0,0,0,0,0,0,0
01/03/2021 17.30,0,0,0,0,0,0,0,0
01/03/2021 17.45,0,0,0,0,0,0,0,0
01/03/2021 18.00,0,0,0,0,0,0,0,0
01/03/2021 18.15,0,0,0,0,0,0,0,0
01/03/2021 18.30,0,0,0,0,0,0,0,0
01/03/2021 18.45,0,0,0,0,0,0,0,0
01/03/2021 19.00,0,0,0,0,0,0,0,0
01/03/2021 19.15,0,0,0,0,0,0,0,0
01/03/2021 19.30,0,0,0,0,0,0,0,0
01/03/2021 19.45,0,0,0,0,0,0,0,0
