0,1,type
mapping.sp,"{'desc': 'Specific power', 'val': array([1.]), 'units': 'W/m**2', 'prom_name': 'sp'}",input
mapping.p_rated,"{'desc': 'Rated power per turbine', 'val': array([1.]), 'units': 'MW', 'prom_name': 'p_rated'}",input
mapping.Nwt,"{'desc': 'Number of wind turbines', 'val': array([1.]), 'units': None, 'prom_name': 'Nwt'}",input
mapping.wind_MW_per_km2,"{'desc': 'Wind power density', 'val': array([1.]), 'units': 'MW/km**2', 'prom_name': 'wind_MW_per_km2'}",input
mapping.solar_MW,"{'desc': 'Solar capacity', 'val': array([1.]), 'units': 'MW', 'prom_name': 'solar_MW'}",input
mapping.surface_tilt,"{'desc': 'Solar panel tilt', 'val': array([1.]), 'units': 'deg', 'prom_name': 'surface_tilt'}",input
mapping.surface_azimuth,"{'desc': 'Solar panel azimuth', 'val': array([1.]), 'units': 'deg', 'prom_name': 'surface_azimuth'}",input
mapping.DC_AC_ratio,"{'desc': 'DC to AC ratio', 'val': array([1.]), 'units': None, 'prom_name': 'DC_AC_ratio'}",input
mapping.b_P,"{'desc': 'Battery power', 'val': array([1.]), 'units': 'MW', 'prom_name': 'b_P'}",input
mapping.b_E_h,"{'desc': 'Battery energy hours', 'val': array([1.]), 'units': 'h', 'prom_name': 'b_E_h'}",input
mapping.cost_of_battery_P_fluct_in_peak_price_ratio,"{'desc': 'Battery cost ratio', 'val': array([1.]), 'units': None, 'prom_name': 'cost_of_battery_P_fluct_in_peak_price_ratio'}",input
pvp.surface_tilt,"{'desc': 'Solar PV tilt angle in degs', 'val': array([20.]), 'units': 'deg', 'prom_name': 'surface_tilt'}",input
pvp.surface_azimuth,"{'desc': 'Solar PV azimuth angle in degs', 'val': array([180.]), 'units': 'deg', 'prom_name': 'surface_azimuth'}",input
pvp.DC_AC_ratio,"{'desc': 'DC/AC PV ratio', 'val': array([1.]), 'units': None, 'prom_name': 'DC_AC_ratio'}",input
pvp.solar_MW,"{'desc': 'Solar PV plant installed capacity', 'val': array([1]), 'units': 'MW', 'prom_name': 'solar_MW'}",input
pvp.land_use_per_solar_MW,"{'desc': 'Solar land use per solar MW', 'val': array([1]), 'units': 'km**2/MW', 'prom_name': 'land_use_per_solar_MW'}",input
pvp_cost.solar_MW,"{'desc': 'AC nominal capacity of the PV plant', 'val': array([1.]), 'units': 'MW', 'prom_name': 'solar_MW'}",input
pvp_cost.DC_AC_ratio,"{'desc': 'Ratio of DC power rating with respect AC rating of the PV plant', 'val': array([1.]), 'units': None, 'prom_name': 'DC_AC_ratio'}",input
pvp_with_degradation.solar_t_ext,"{'desc': 'PVP power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'solar_t_ext'}",input
pvp_with_reliability.solar_t,"{'desc': '', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'solar_t_ext_deg'}",input
shared_cost.G_MW,"{'desc': 'Grid capacity', 'val': array([1.]), 'units': 'MW', 'prom_name': 'G_MW'}",input
shared_cost.Awpp,"{'desc': 'Land use area of WPP', 'val': array([1.]), 'units': 'km**2', 'prom_name': 'Awpp'}",input
shared_cost.Apvp,"{'desc': 'Land use area of SP', 'val': array([1.]), 'units': 'km**2', 'prom_name': 'Apvp'}",input
wpp.ws,"{'desc': ""Turbine's ws"", 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': 'm/s', 'prom_name': 'ws'}",input
wpp.pcw,"{'desc': 'Wake affected power curve', 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': None, 'prom_name': 'pcw'}",input
wpp.wst,"{'desc': 'ws time series at the hub height', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(8760,)), 'units': 'm/s', 'prom_name': 'wst'}",input
wpp_cost.Nwt,"{'desc': 'Number of wind turbines', 'val': array([1.]), 'units': None, 'prom_name': 'Nwt'}",input
wpp_cost.hh,"{'desc': ""Turbine's hub height"", 'val': array([1.]), 'units': 'm', 'prom_name': 'hh'}",input
wpp_cost.d,"{'desc': ""Turbine's diameter"", 'val': array([1.]), 'units': 'm', 'prom_name': 'd'}",input
wpp_cost.p_rated,"{'desc': ""Turbine's rated power"", 'val': array([1.]), 'units': 'MW', 'prom_name': 'p_rated'}",input
wpp_cost.wind_t,"{'desc': 'WPP power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(8760,)), 'units': 'MW', 'prom_name': 'wind_t'}",input
wpp_with_degradation.ws,"{'desc': ""Turbine's ws"", 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': 'm/s', 'prom_name': 'ws'}",input
wpp_with_degradation.pcw,"{'desc': 'Wake affected power curve', 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': None, 'prom_name': 'pcw'}",input
wpp_with_degradation.wst,"{'desc': 'ws time series at the hub height', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(8760,)), 'units': 'm/s', 'prom_name': 'wst'}",input
wpp_with_reliability.wind_t,"{'desc': '', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'wind_t_ext_deg'}",input
abl.wst,"{'desc': 'ws time series at the hub height', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(8760,)), 'units': 'm/s', 'prom_name': 'wst'}",output
battery_cost.CAPEX_b,"{'desc': 'CAPEX of the storage unit', 'val': array([1.]), 'units': None, 'prom_name': 'CAPEX_b'}",output
battery_cost.OPEX_b,"{'desc': 'OPEX of the storage unit', 'val': array([1.]), 'units': None, 'prom_name': 'OPEX_b'}",output
battery_degradation.SoH,"{'desc': 'Battery state of health at discretization levels', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': None, 'prom_name': 'SoH'}",output
battery_degradation.n_batteries,"{'desc': 'Number of batteries used.', 'val': array([1.]), 'units': None, 'prom_name': 'n_batteries'}",output
battery_loss_in_capacity_due_to_temp.SoH_all,"{'desc': 'Battery state of health at discretization levels', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': None, 'prom_name': 'SoH_all'}",output
battery_with_reliability.b_t_rel,"{'desc': '', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'b_t_rel'}",output
ems.wind_t_ext,"{'desc': 'WPP power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'wind_t_ext'}",output
ems.solar_t_ext,"{'desc': 'PVP power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'solar_t_ext'}",output
ems.price_t_ext,"{'desc': 'Electricity price time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': None, 'prom_name': 'price_t_ext'}",output
ems.hpp_t,"{'desc': 'HPP power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'hpp_t'}",output
ems.hpp_curt_t,"{'desc': 'HPP curtailed power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'hpp_curt_t'}",output
ems.b_t,"{'desc': 'Battery charge/discharge power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'b_t'}",output
