Datetime,AT,BE,DK,ES,FI,FR,GB,GB-NIR,IE,IT,NL,NO,PT,SE
2018-08-10 19:00:00+00:00,0.6201550387596899,0.690631808278867,0.5749823570924488,0.7880470842651071,0.6324847105674869,0.446344664098548,0.6005126061112828,0.5440729483282675,0.6596826688364524,0.712470426619858,0.6805511561609122,0.4842375974780156,0.7055383556931545,0.45293320280141575
2018-08-10 19:15:00+00:00,0.6080657069029162,0.6973931334986102,,,,,,,,,0.6826628655896949,,,
2018-08-10 19:30:00+00:00,0.5953303802141011,0.6967921268124108,,,,,0.5954592550851617,0.5343465045592705,0.6405614320585842,,0.6777003484320557,,,
2018-08-10 19:45:00+00:00,0.5854558877814692,0.698520021035234,,,,,,,,,0.6706789145813536,,,
2018-08-10 20:00:00+00:00,0.5873015873015873,0.6991961535572083,0.5569865913902611,0.7619000810950286,0.601194709145214,0.46430385641112476,0.60300292658099,0.5355623100303951,0.6387306753458096,0.6577882927573838,0.6584837926301341,0.4774348763895802,0.7103543171654627,0.44660742525792607
2018-08-10 20:15:00+00:00,0.5820413436692506,0.7037037037037037,,,,,,,,,0.6537324464153732,,,
2018-08-10 20:30:00+00:00,0.5632152085640457,0.7029524453459545,,,,,0.5859524112482504,0.548936170212766,0.6529698942229455,,0.6435962411572168,,,
2018-08-10 20:45:00+00:00,0.5532484311554079,0.6988205243783338,,,,,,,,,0.6356245380635624,,,
2018-08-10 21:00:00+00:00,0.5406053894425987,0.6816167079858764,0.5118207480592801,0.7126041333890349,0.5608732754942398,0.4667061761842272,0.5632305091523822,0.5483282674772036,0.646460537021969,0.6038884224986645,0.6355717453278429,0.4611747137879542,0.6733172801284256,0.41934633632050605
2018-08-10 21:15:00+00:00,0.5293466223698782,0.6753061377807829,,,,,,,,,0.6250659909196494,,,
2018-08-10 21:30:00+00:00,0.5167958656330749,0.6581023213883255,,,,,0.5361096468107538,0.5246200607902736,0.6189991863303499,,0.6146130292471755,,,
2018-08-10 21:45:00+00:00,0.5086747877445552,0.6309067688378033,,,,,,,,,0.6051631295533735,,,
2018-08-10 22:00:00+00:00,0.5142118863049095,0.6304935767410412,0.4744177840508116,0.6744894699334038,0.5338500924477315,0.4219087330144351,0.5022994564921018,0.4899696048632219,0.5927583401139137,0.555788750667786,0.5943934114665822,0.4386095901775344,0.6217176929251232,0.390692070186008
2018-08-10 22:15:00+00:00,0.5050756736803248,0.6300803846442792,,,,,,,,,0.5824622531939605,,,
2018-08-10 22:30:00+00:00,0.4959394610557401,0.6306813913304785,,,,,0.4810317561303692,0.4547112462006079,0.5652969894222946,,0.5761271249076128,,,
2018-08-10 22:45:00+00:00,0.48698781838316724,0.6237698144391857,,,,,,,,,0.5657269559708584,,,
2018-08-10 23:00:00+00:00,0.487172388335179,0.6191871384569153,0.4535991531404375,0.6382424495613496,0.5233252737875125,0.39157812301570505,0.4537472960936506,0.4267477203647416,0.5417005695687551,0.5176295504846219,0.5580720092915215,0.42823958851833416,0.5792913656690747,0.3805632954288727
2018-08-10 23:15:00+00:00,0.479328165374677,0.6223424235594621,,,,,,,,,0.5529511139267237,,,
2018-08-10 23:30:00+00:00,0.47406792174234036,0.6072421305687026,,,,,0.43338847181575263,0.3993920972644377,0.5197314890154597,,0.5466159856403758,,,
2018-08-10 23:45:00+00:00,0.4715762273901809,0.6006310570205093,,,,,,,,,0.5409143701826629,,,
2018-08-11 00:00:00+00:00,0.47849760059062385,0.5899631883404702,0.4382498235709245,0.6079178237043226,0.5199118190869009,0.3735342674512128,0.4207369167287732,0.3817629179331307,0.5024410089503661,0.4938945279706937,0.5370077077394151,0.42015098722415795,0.5422543286320376,0.37250545974847504
2018-08-11 00:15:00+00:00,0.4722222222222222,0.5849297573435505,,,,,,,,,0.534473656424876,,,
2018-08-11 00:30:00+00:00,0.46419342930970836,0.5851551348508752,,,,,0.40586770399723704,0.3689969604863222,0.48474369406021156,,0.5299334811529933,,,
2018-08-11 00:45:00+00:00,0.46382428940568476,0.5792953196604312,,,,,,,,,0.528877626438602,,,
2018-08-11 01:00:00+00:00,0.4564414913252123,0.5762902862294343,0.43454481298517994,0.5887990563487577,0.5163561371070972,0.35015662701604366,0.3951974987730173,0.3574468085106383,0.4676566314076485,0.4807486835075937,0.5246542075810369,0.4169985067197611,0.5240224744868708,0.36915430378793584
2018-08-11 01:15:00+00:00,0.45044296788482835,0.5694538351739163,,,,,,,,,0.5225424981522543,,,
2018-08-11 01:30:00+00:00,0.44739756367663347,0.5671249342648937,,,,,0.391343864177558,0.35623100303951366,0.4613506916192026,,0.519533312216239,,,
2018-08-11 01:45:00+00:00,0.4482281284606866,0.5660731725640448,,,,,,,,,0.517474395523176,,,
2018-08-11 02:00:00+00:00,0.45099667774086377,0.5575839531214785,0.43172194777699363,0.5732927039048485,0.5064002275636467,0.3416479701985353,0.3907985385272572,0.34711246200607904,0.4552481692432872,0.4755017934824086,0.517474395523176,0.4178281068524971,0.512441233803463,0.36636794939377965
2018-08-11 02:15:00+00:00,0.4496124031007752,0.5594620990158515,,,,,,,,,0.5167352972231021,,,
2018-08-11 02:30:00+00:00,0.4506275378368402,0.5526256479603335,,,,,0.3869449039317979,0.3386018237082067,0.4517900732302685,,0.5162073698659064,,,
2018-08-11 02:45:00+00:00,0.4541343669250646,0.5545789196904816,,,,,,,,,0.5159434061873086,,,
2018-08-11 03:00:00+00:00,0.4641011443337025,0.5581849598076779,0.42836979534227243,0.5685252991915072,0.5194851372493244,0.3457647208229268,0.38452729354879756,0.339209726443769,0.44894222945484136,0.480367091505762,0.5188470066518847,0.4163763066202091,0.5039559683522532,0.3574064312071692
2018-08-11 03:15:00+00:00,0.46622369878183834,0.5581849598076779,,,,,,,,,0.5205891669306304,,,
