Datetime,AT,BE,DE,DK,ES,FR,GB,NL,PT
2018-05-01 03:15:00+00:00,0.0,,2.2923017598597242e-05,,,,,0.0,
2018-05-01 03:30:00+00:00,0.0008382229673093043,,9.169207039438894e-05,,,,0.0,0.0,
2018-05-01 03:45:00+00:00,0.0008382229673093043,,0.000779382598352306,,,,,0.0,
2018-05-01 04:00:00+00:00,0.010058675607711651,0.006796628730276254,0.0032550684990008075,0.016899528828608002,0.014112681674067259,0.0,0.0042324156657357935,0.0,0.0
2018-05-01 04:15:00+00:00,0.020955574182732608,,0.007495826754741295,,,,,0.0009904841160720747,
2018-05-01 04:30:00+00:00,0.03185247275775356,,0.013753810559158341,,,,0.008464831331471587,0.001980968232144149,
2018-05-01 04:45:00+00:00,0.04274937133277452,,0.02267086440501266,,,,,0.002971452348216225,
2018-05-01 05:00:00+00:00,0.07879295892707461,0.055667625790834084,0.035026370890656584,0.057657216003486125,0.028522472436009617,0.004663753417956272,0.034956618276262286,0.004292097836312324,0.0
2018-05-01 05:15:00+00:00,0.10729253981559096,,0.04958248706576582,,,,,0.007263550184528548,
2018-05-01 05:30:00+00:00,0.1366303436714166,,0.06622459784234741,,,,0.06137002715316901,0.010235002532744772,
2018-05-01 05:45:00+00:00,0.16680637049455155,,0.08401285949885888,,,,,0.01353661625298502,
2018-05-01 06:00:00+00:00,0.20536462699077954,0.14920218307892158,0.1036349625632581,0.12923169104229648,0.12731124415448045,0.0634270464842053,0.11388333263544645,0.016508068601201246,0.023008406826094514
2018-05-01 06:15:00+00:00,0.24392288348700755,,0.12403644822600965,,,,,0.02344145741370577,
2018-05-01 06:30:00+00:00,0.28248113998323554,,0.1449651632935289,,,,0.16631826004983988,0.030044684854186262,
2018-05-01 06:45:00+00:00,0.32187761944677284,,0.16525203386828746,,,,,0.036978073666690786,
2018-05-01 07:00:00+00:00,0.3595976529756915,0.2566536468147176,0.1856305965134404,0.21571751504752568,0.2923553424690986,0.17895488115186495,0.2298828731037608,0.04358130110717129,0.13805044095656707
2018-05-01 07:15:00+00:00,0.3973176865046103,,0.20541316070102986,,,,,0.05447662638396411,
2018-05-01 07:30:00+00:00,0.4350377200335289,,0.22446218832546413,,,,0.2934474861576817,0.0650417902887329,
2018-05-01 07:45:00+00:00,0.4727577535624476,,0.2423879880875672,,,,,0.07593711556552572,
2018-05-01 08:00:00+00:00,0.501257334450964,0.3809348578826262,0.2594427131809235,0.2634338317400659,0.4599248680306551,0.3182012332022737,0.3570120992116025,0.08650227947029453,0.2580228479783456
2018-05-01 08:15:00+00:00,0.5305951383067896,,0.2754200564471458,,,,,0.10003889572327956,
2018-05-01 08:30:00+00:00,0.5582564962279967,,0.291512014801361,,,,0.42057671226552346,0.11357551197626455,
2018-05-01 08:45:00+00:00,0.5859178541492037,,0.306824590557224,,,,,0.12711212822924958,
2018-05-01 09:00:00+00:00,0.6001676445934618,0.5158964855266833,0.3213119376795374,0.2544870223602146,0.572232103247443,0.4283990639636976,0.469484626625137,0.1406487444822346,0.43715972969579575
2018-05-01 09:15:00+00:00,0.6144174350377201,,0.335226209361886,,,,,0.15979810405962805,
2018-05-01 09:30:00+00:00,0.6278290025146689,,0.3482694063754878,,,,0.5183141629168667,0.17861730226499747,
2018-05-01 09:45:00+00:00,0.6404023470243084,,0.3606936819139275,,,,,0.1974365004703669,
2018-05-01 10:00:00+00:00,0.647108130762783,0.6194641614166071,0.3710319628508949,0.20180025601220145,0.6310597026467129,0.5164773785142431,0.5454329744047294,0.21625569867573632,0.5916447469567161
2018-05-01 10:15:00+00:00,0.6538139145012574,,0.3800865548023408,,,,,0.2403574788334901,
2018-05-01 10:30:00+00:00,0.6588432523051132,,0.3882013030322442,,,,0.572473407824708,0.26412909761921993,
2018-05-01 10:45:00+00:00,0.6630343671416596,,0.3945509789070556,,,,,0.2879007164049497,
2018-05-01 11:00:00+00:00,0.6512992455993294,0.6650986686056048,0.3996398888139442,0.15110166952637746,0.6472521479359058,0.5677786661117622,0.5752166402006479,0.3120024965627035,0.6853218318915294
2018-05-01 11:15:00+00:00,0.6387259010896899,,0.40278034222495207,,,,,0.3351137926043853,
2018-05-01 11:30:00+00:00,0.6269907795473596,,0.40511849002000894,,,,0.5779598725765878,0.358225088646067,
2018-05-01 11:45:00+00:00,0.6152556580050293,,0.4064251020231289,,,,,0.3813363846877488,
2018-05-01 12:00:00+00:00,0.5959765297569153,0.6634804236698247,0.40608125675915,0.11829670180025602,0.6236319754498353,0.5699106676742565,0.5590707582165447,0.4044476807294305,0.703399865826318
2018-05-01 12:15:00+00:00,0.575859178541492,,0.4049580288968188,,,,,0.4199652652145597,
2018-05-01 12:30:00+00:00,0.5549036043587594,,0.4010381928874586,,,,0.5401032657886176,0.4354828496996889,
2018-05-01 12:45:00+00:00,0.5347862531433362,,0.3960409750509644,,,,,0.45100043418481794,
2018-05-01 13:00:00+00:00,0.5146689019279128,0.6139621286349549,0.38827007208504,0.11730261186916142,0.5848592394821348,0.5332668908188858,0.5037358422904433,0.4661878572979232,0.6836783742610941
2018-05-01 13:15:00+00:00,0.4945515507124895,,0.3781151752888614,,,,,0.4708101165062595,
2018-05-01 13:30:00+00:00,0.4735959765297569,,0.3650719782752596,,,,0.4672900407243852,0.4754323757145959,
2018-05-01 13:45:00+00:00,0.451802179379715,,0.3507909383113335,,,,,0.4800546349229322,
2018-05-01 14:00:00+00:00,0.424140821458508,0.508452558822095,0.335226209361886,0.10934989242040473,0.536579012702431,0.4795671014635607,0.4249658840670272,0.4846768941312686,0.6557395945436936
2018-05-01 14:15:00+00:00,0.3956412405699916,,0.3176213318461633,,,,,0.476092698458644,
2018-05-01 14:30:00+00:00,0.36546521374685664,,0.2984118430985388,,,,0.3825633493417853,0.4675085027860193,
2018-05-01 14:45:00+00:00,0.3352891869237217,,0.27743728199582235,,,,,0.4589243071133946,
