Datetime,AT,BE,DE,DK,ES,FR,GB,IT,NL,PT
2018-01-01 16:30:00+00:00,0.006705783738474434,,0.0,,,,0.0,,0.001934984520123839,0.06937282460842686
2018-01-01 16:45:00+00:00,0.006705783738474434,,0.0,,,,,,0.0007739938080495358,0.030717320349004925
2018-01-01 17:00:00+00:00,0.006705783738474434,0.0,0.0,0.0,0.026331448973519786,0.0,8.018603159329644e-05,0.0007620612115901298,0.0,0.009318737633967787
2018-01-01 17:15:00+00:00,0.006705783738474434,,0.0,,,,,,0.0,0.0005177076463315437
2018-01-01 17:30:00+00:00,0.006705783738474434,,0.0,,,,0.0,,0.0,0.0
2018-01-01 17:45:00+00:00,0.006705783738474434,,0.0,,,,,,0.0,0.0
2018-01-01 18:00:00+00:00,0.0,0.0,0.0,0.0,0.017703064564117826,0.0,0.0,0.0008128652923628053,0.0,0.0
2018-01-01 18:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 18:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-01 18:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,0.017108003570365963,0.0,0.0,0.0008128652923628053,0.0,0.0
2018-01-01 19:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 19:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-01 19:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.013537637607854805,0.0,0.0,0.00045723672695407785,0.0,0.0
2018-01-01 20:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 20:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-01 20:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.008925914906277893,0.0,0.0,0.0008636693731354805,0.0,0.0
2018-01-01 21:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 21:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-01 21:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.007438262421898246,0.0,0.0,0.0008128652923628053,0.0,0.0
2018-01-01 22:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 22:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-01 22:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0023802439750074387,0.0,0.0,0.0,0.0,0.0
2018-01-01 23:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-01 23:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-01 23:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0016363983910719082,0.0,0.0,0.0,0.0,0.0
2018-01-02 00:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 00:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-02 00:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0016363983910719082,0.0,0.0,0.0,0.0,0.0
2018-01-02 01:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 01:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-02 01:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0016363983910719082,0.0,0.0,0.0,0.0,0.0
2018-01-02 02:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 02:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-02 02:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0016363983910719082,0.0,0.0,0.0,0.0,0.0
2018-01-02 03:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 03:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-02 03:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0017851618811693547,0.0,0.0,0.0,0.0,0.0
2018-01-02 04:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 04:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-02 04:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0025289793316565857,0.0,0.0,0.0,0.0,0.0
2018-01-02 05:15:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 05:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,0.0
2018-01-02 05:45:00+00:00,0.0,,0.0,,,,,,0.0,0.0
2018-01-02 06:00:00+00:00,0.006705783738474434,0.0,0.0,0.0,0.002677742821754032,0.0,0.0,0.0006604139557598755,0.0,0.0
2018-01-02 06:15:00+00:00,0.006705783738474434,,0.0,,,,,,0.0,0.0
2018-01-02 06:30:00+00:00,0.006705783738474434,,0.0,,,,0.0,,0.0,0.0
2018-01-02 06:45:00+00:00,0.006705783738474434,,0.0,,,,,,0.0,0.0
2018-01-02 07:00:00+00:00,0.012573344509639563,0.0,4.671714464811911e-05,0.0009979712474914011,0.0056530126237029545,0.01171092576663402,0.0,0.01772957465847666,0.0,0.0
2018-01-02 07:15:00+00:00,0.01760268231349539,,0.0004671714464811911,,,,,,0.0,0.0
2018-01-02 07:30:00+00:00,0.02347024308466052,,0.002008837219869121,,,,0.0,,0.0,0.0
2018-01-02 07:45:00+00:00,0.028499580888516344,,0.005045451621996863,,,,,,0.0,0.0013799783012589989
2018-01-02 08:00:00+00:00,0.04274937133277452,0.01997197339048709,0.00992739323772531,0.02894116617725063,0.06813367846463038,0.054650986910958765,0.00016034124130478235,0.09403278708550228,0.00038644253705348683,0.01328229114961786
2018-01-02 08:15:00+00:00,0.057837384744342,,0.016888247790295057,,,,,,0.010433948500444143,0.04674676495514858
2018-01-02 08:30:00+00:00,0.07292539815590947,,0.025647712411817392,,,,0.0005611943445667382,,0.020095011926781314,0.09366602719795453
2018-01-02 08:45:00+00:00,0.08885163453478626,,0.0322815469518503,,,,,,0.030142517890171968,0.13472038166040973
2018-01-02 09:00:00+00:00,0.10477787091366304,0.08327297379762415,0.04076070870548392,0.0958052397591745,0.19354130061677752,0.1228253047667211,0.0020042655163097795,0.1709456123947678,0.04019002385356263,0.19561192420346307
2018-01-02 09:15:00+00:00,0.12070410729253983,,0.049029643308201,,,,,,0.059512150706236965,0.2375287651042051
2018-01-02 09:30:00+00:00,0.1357921207041073,,0.055102872112456486,,,,0.00537143158371021,,0.0788342775589113,0.26944076332081945
2018-01-02 09:45:00+00:00,0.15088013411567475,,0.060942515193471374,,,,,,0.09854284694863913,0.2913479188533061
2018-01-02 10:00:00+00:00,0.1601005867560771,0.1100151076594628,0.06802016260766143,0.14969568712371015,0.28651848192768137,0.16715952374040705,0.011704910615249113,0.25720583523171153,0.11786497380131347,0.3137725662487648
2018-01-02 10:15:00+00:00,0.16932103939647947,,0.07257508421085303,,,,,,0.13332267528345296,0.3472370400542956
2018-01-02 10:30:00+00:00,0.1785414920368818,,0.07544818860671236,,,,0.016515147854392582,,0.1487803767655924,0.3679367145731805
2018-01-02 10:45:00+00:00,0.18776194467728416,,0.07897533302764534,,,,,,0.1642380782477319,0.3900163673933245
2018-01-02 11:00:00+00:00,0.18860016764459347,0.0900431342689757,0.07892861588299722,0.17264902581601238,0.3632804428179636,0.1667412763915987,0.022848626885931485,0.28626404928514604,0.17969577972987136,0.41899591171976347
2018-01-02 11:15:00+00:00,0.1894383906119028,,0.07937242875715436,,,,,,0.1812415498780853,0.3986412317761932
2018-01-02 11:30:00+00:00,0.19027661357921208,,0.08077394309659792,,,,0.031186371433780162,,0.18317376256335274,0.4264132950890305
2018-01-02 11:45:00+00:00,0.19027661357921208,,0.08156813455561596,,,,,,0.1847195327115667,0.4326231974446961
2018-01-02 12:00:00+00:00,0.18357082984073764,0.07040966890205619,0.07955929733574682,0.14270988839127036,0.4000250248720328,0.16492887121342914,0.034874219983790165,0.2637083726422703,0.18626530285978066,0.42727578152731743
2018-01-02 12:15:00+00:00,0.1760268231349539,,0.07841472729186792,,,,,,0.1735126991370156,0.4134759985147273
2018-01-02 12:30:00+00:00,0.16848281642917015,,0.07526132002811987,,,,0.04192923460120058,,0.16076009541425051,0.4157184632542733
2018-01-02 12:45:00+00:00,0.16093880972338642,,0.0699355655382343,,,,,,0.14800749169148544,0.3760440870930771
2018-01-02 13:00:00+00:00,0.14836546521374686,0.04366753504021754,0.06657193112356972,0.0828316135417863,0.3802394806890725,0.1328632411381217,0.05171005032079231,0.19888620283076253,0.1348684454316669,0.3531019478346463
2018-01-02 13:15:00+00:00,0.1357921207041073,,0.0607556466148789,,,,,,0.11747853126426,0.3391296675343989
2018-01-02 13:30:00+00:00,0.12238055322715842,,0.05258014630145805,,,,0.030144153365299083,,0.10008861709685307,0.3248123926588368
2018-01-02 13:45:00+00:00,0.10980720871751884,,0.04351702023972295,,,,,,0.08231226039239269,0.2872079839495291
2018-01-02 14:00:00+00:00,0.09136630343671416,0.01997197339048709,0.034290384171719424,0.021955367444810824,0.3528669985111424,0.07890933314184352,0.023489991851150614,0.08270414769054442,0.06492234622498579,0.2910029242779913
2018-01-02 14:15:00+00:00,0.07376362112321877,,0.023732309481244503,,,,,,0.05332907011338118,0.2649558338417277
2018-01-02 14:30:00+00:00,0.055322715842414084,,0.014692541991833459,,,,0.013147981786992152,,0.04173579400177657,0.2640933474034409
2018-01-02 14:45:00+00:00,0.03772003352891869,,0.008479161753633618,,,,,,0.030142517890171968,0.24097871085735265
2018-01-02 15:00:00+00:00,0.030176026823134958,0.0013540320942703114,0.002803028678887146,0.0009979712474914011,0.253046696655756,0.028022572370159975,0.004249042894576732,0.008534580351358392,0.018549241778567368,0.21958904718783812
2018-01-02 15:15:00+00:00,0.02263202011735121,,0.0007241157420458461,,,,,,0.014684816408032497,0.18957451913545492
2018-01-02 15:30:00+00:00,0.015088013411567475,,0.0001868685785924764,,,,0.00016034124130478235,,0.01120683357455112,0.16473490971279295
2018-01-02 15:45:00+00:00,0.007544006705783738,,7.007571697217866e-05,,,,,,0.007342408204016248,0.13834282470121462
2018-01-02 16:00:00+00:00,0.006705783738474434,0.0,0.0,0.0,0.11008498267211017,0.008783194324975516,0.0006413649652191294,0.0,0.003477982833481381,0.08814611399291854
2018-01-02 16:15:00+00:00,0.006705783738474434,,0.0,,,,,,0.0027050977593744076,0.08670109573073954
2018-01-02 16:30:00+00:00,0.006705783738474434,,0.0,,,,0.001042218068481085,,0.001932212685267434,0.08525607746856054
2018-01-02 16:45:00+00:00,0.006705783738474434,,0.0,,,,,,0.0007728850741069737,0.08381105920638156
2018-01-02 17:00:00+00:00,0.006705783738474434,0.0,0.0,0.0,0.02588484727695564,0.0,0.0005611943445667382,0.0,0.0,0.08236604094420258
2018-01-02 17:15:00+00:00,0.006705783738474434,,0.0,,,,,,0.0,
2018-01-02 17:30:00+00:00,0.006705783738474434,,0.0,,,,0.0,,0.0,
2018-01-02 17:45:00+00:00,0.006705783738474434,,0.0,,,,,,0.0,
2018-01-02 18:00:00+00:00,0.0,0.0,0.0,0.0,0.009372099876139113,0.0,0.0,0.0,0.0,
2018-01-02 18:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 18:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-02 18:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 19:00:00+00:00,0.0,0.0,0.0,0.0,0.009074572895944221,0.0,0.0,0.0,0.0,
2018-01-02 19:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 19:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-02 19:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 20:00:00+00:00,0.0,0.0,0.0,0.0,0.009074572895944221,0.0,0.0,0.0,0.0,
2018-01-02 20:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 20:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-02 20:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 21:00:00+00:00,0.0,0.0,0.0,0.0,0.008925809405846773,0.0,0.0,0.0,0.0,
2018-01-02 21:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 21:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-02 21:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 22:00:00+00:00,0.0,0.0,0.0,0.0,0.00862828242565188,0.0,0.0,0.0,0.0,
2018-01-02 22:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 22:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-02 22:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 23:00:00+00:00,0.0,0.0,0.0,0.0,0.008479518935554434,0.0,0.0,0.0,0.0,
2018-01-02 23:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-02 23:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-02 23:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.006991801394529155,0.0,0.0,0.0,0.0,
2018-01-03 00:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 00:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-03 00:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 01:00:00+00:00,0.0,0.0,0.0,0.0,0.006099231003738197,0.0,0.0,0.0,0.0,
2018-01-03 01:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 01:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-03 01:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 02:00:00+00:00,0.0,0.0,0.0,0.0,0.00565294580834272,0.0,0.0,0.0,0.0,
2018-01-03 02:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 02:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-03 02:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 03:00:00+00:00,0.0,0.0,0.0,0.0,0.005950469271939706,0.0,0.0,0.0,0.0,
2018-01-03 03:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 03:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-03 03:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 04:00:00+00:00,0.0,0.0,0.0,0.0,0.005950469271939706,0.0,0.0,0.0,0.0,
2018-01-03 04:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 04:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-03 04:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 05:00:00+00:00,0.0,0.0,0.0,0.0,0.005950469271939706,0.0,0.0,0.0,0.0,
2018-01-03 05:15:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 05:30:00+00:00,0.0,,0.0,,,,0.0,,0.0,
2018-01-03 05:45:00+00:00,0.0,,0.0,,,,,,0.0,
2018-01-03 06:00:00+00:00,0.006705783738474434,0.0,0.0,0.0,0.006099231003738197,0.0,0.0,0.003149480130644716,0.0,
2018-01-03 06:15:00+00:00,0.006705783738474434,,0.0,,,,,,0.0,
2018-01-03 06:30:00+00:00,0.006705783738474434,,0.0,,,,0.0,,0.0,
2018-01-03 06:45:00+00:00,0.006705783738474434,,0.0,,,,,,0.0,
2018-01-03 07:00:00+00:00,0.009220452640402345,0.0,2.3354843250610266e-05,0.0009979385051154602,0.007438086589924633,0.011845735497039808,0.0,0.06263401614653122,0.0,
2018-01-03 07:15:00+00:00,0.01173512154233026,,0.00023354843250610264,,,,,,0.0,0.0
2018-01-03 07:30:00+00:00,0.014249790444258172,,0.0011910970057811235,,,,0.0,,0.0,0.0
2018-01-03 07:45:00+00:00,0.01760268231349539,,0.003876903979601304,,,,,,0.0,0.0
2018-01-03 08:00:00+00:00,0.025146689019279127,0.02199453589906895,0.00868800168922702,0.0029938155153463805,0.03971938239019754,0.046407410829579485,0.0004809312938040018,0.16783681212338938,0.00038588975605424026,0.002069105037668459
2018-01-03 08:15:00+00:00,0.03269069572506287,,0.014293164069373485,,,,,,0.008875464389247526,0.007931569311062425
