Datetime,AT,BE,DE,DK,ES,FI,FR,GB,GB-NIR,IE,NL,NO,PT,SE,CA-QC
2018-12-24 19:00:00+00:00,0.4564956788704007,0.017970005428873084,0.2247949896214443,0.4318389302546433,0.10670740958419442,0.3370788025058088,0.15864312933916144,0.12758200514741205,0.34974874371859305,0.12504518771737386,0.14771276888704768,0.4517508755799329,0.14296790542811982,0.2477488627318724,0.2566107920526384
2018-12-24 19:15:00+00:00,0.4499179313362451,,0.2286335985458348,,,,,,,,0.1488781556238291,,,,
2018-12-24 19:30:00+00:00,0.4420246342952584,,0.2324343886630883,,,,,0.12758200514741205,,,0.1497521956764152,,,,
2018-12-24 19:45:00+00:00,0.4354468867611027,,0.23615954116606816,,,,,,,,0.15091758241319664,,,,
2018-12-24 20:00:00+00:00,0.4288691392269471,0.016126927948988658,0.2398090560547743,0.4501429351476972,0.09720810725394476,0.3282598803472266,0.1570062831841969,0.13114574830795428,0.3326633165829146,0.13522986364005588,0.1520829691499781,0.4788198361672791,0.15189177988917282,0.2555130721052359,0.29046646314024
2018-12-24 20:15:00+00:00,0.42229139169279145,,0.2434774803470489,,,,,,,,0.1564531694129085,,,,
2018-12-24 20:30:00+00:00,0.4157136441586358,,0.2472404516571656,,,,,0.13114574830795428,,,0.16257144978101107,,,,
2018-12-24 20:45:00+00:00,0.4091358966244802,,0.2510034229672823,,,,,,,,0.16839838346491826,,,,
2018-12-24 21:00:00+00:00,0.4038736985971557,0.016126927948988658,0.25172198030288245,0.4892366739933556,0.0909462353142735,0.31601137734919577,0.1553694370292324,0.1324128569872582,0.32663316582914576,0.15050687752407893,0.17568205056980227,0.4986704072646663,0.16471984942693652,0.2701944861930506,0.3077561927493227
2018-12-24 21:15:00+00:00,0.397295951063,,0.25435038739889365,,,,,,,,0.18121763756951406,,,,
2018-12-24 21:30:00+00:00,0.3920337530356756,,0.256940975687768,,,,,0.1324128569872582,,,0.18850130467439813,,,,
2018-12-24 21:45:00+00:00,0.3854560055015199,,0.259474835765937,,,,,,,,0.1952022784108914,,,,
2018-12-24 22:00:00+00:00,0.3815093569810265,0.01843077479884419,0.2618763300191271,0.5265226098866137,0.08745321831391263,0.31405161686951083,0.1505243724105374,0.1323336626948017,0.3075376884422111,0.17172495236299984,0.2019032521473847,0.5082949265846116,0.18424082481048992,0.2913696026658601,0.3380310346793962
2018-12-24 22:15:00+00:00,0.3775627084605331,,0.2638050891831065,,,,,,,,0.20947826593646407,,,,
2018-12-24 22:30:00+00:00,0.37361605994003977,,0.26586621417206485,,,,,0.1323336626948017,,,0.21705327972554345,,,,
2018-12-24 22:45:00+00:00,0.3696694114195464,,0.267870610950318,,,,,,,,0.22433694683042746,,,,
