iteration,timestamp,success,NPV_over_CAPEX,annual_carbon_offset,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,b_P,b_E_h,time_sec
54,159051.306883,1,-2.055318571007113,-388470.5960967848,36.09610190093926,242.18701130874902,14.225805201015547,44.979727241983014,6.591427587888497,52.61189558842038,52.09341278177911,188.12797803278642,31.384277158030645,4.955712426856126,902.7752107999986
55,159070.5112045,1,0.718186493333611,-31105.963329606006,104.65414538887856,345.94249366797777,10.124363411534254,47.05234620969117,5.717800141967241,131.2362882174931,12.11648662522763,152.9581733196525,170.98910111244206,28.131389432536288,921.9795322999998
56,159091.9593657,1,-2.4876723718321356,-400885.43775345455,25.278192616639664,324.5771050288666,13.487018468957242,44.54708841128355,4.965666493962394,167.68993543864653,55.68154434009047,209.40538045290998,178.74480969453356,11.275809699909379,943.4276934999798
57,159112.6811023,1,-3.3541791179512948,-351721.6744925325,23.80236223901508,271.3129403396362,10.051510628388158,37.54877088531437,5.650832067853557,121.09085806377452,61.78432688722854,199.33448467906354,74.09028530026016,17.927820242022104,964.1494300999912
58,159132.5998718,1,-1.564017956207313,-105945.81073781087,98.09841412613918,305.83193807540925,6.898275687176946,10.333105489682803,8.534153316919586,154.10356933297186,43.94080645597822,155.60590337771006,79.57959295031444,27.960822866108824,984.0681995999767
59,159155.8586285,1,-2.3810229481287863,-140114.68238358674,68.06467198597346,229.40631411241912,11.105789599289704,10.924470913792817,6.43079744439109,49.68625100108591,8.57764299483567,170.6395853607595,54.17107834625025,20.141075297536112,1007.3269562999776
60,159178.8312593,1,-4.011920567158388,-315191.0731735699,33.69753149142224,245.2945530776784,7.113686703686893,44.979727241983014,6.244995291517216,52.47029549638615,50.04259561524147,154.04823181227007,31.384277158030645,4.72126314768867,1030.2995870999875
61,159200.6193402,1,-3.2623634897466696,-358425.7914065184,23.80236223901508,269.710322317316,10.051510628388158,39.79773737485713,5.650832067853557,121.09085806377452,61.78432688722854,199.33448467906354,74.09028530026016,17.927820242022104,1052.0876679999928
62,159221.0248078,1,-2.242481913191915,-378762.3687565631,104.65414538887856,345.94249366797777,9.783088474516138,46.98365184605596,5.690176276978849,129.20558344092046,49.886862980551584,152.9581733196525,170.96996410450143,27.805784002072482,1072.4931355999724
63,159243.3966004,1,-2.05435743084975,-389763.583483284,36.09610190093926,242.18701130874902,14.225805201015547,44.972827673388615,6.591427587888497,61.78463138428852,51.79781804004796,186.1286484958292,31.384277158030645,5.335558887292155,1094.864928199997
64,159265.3246704,1,-2.1326993707542554,-408377.0498363014,45.75066827550692,229.40631411241912,11.123509874128356,47.05846776109697,6.370740032405648,49.544650909051654,3.7309900865690437,172.63891507840552,164.76102187124727,21.160696079677983,1116.7929981999914
65,159285.7679913,1,-3.1111186220339073,-355284.4550616734,46.11264154869633,226.19310900689885,10.6962584334462,34.3653705082119,6.43079744439109,61.32854854486472,7.81858957047389,170.6395853607595,54.74906327206064,19.682279834680088,1137.2363190999895
66,159306.9160621,1,-2.7795242522318286,-177826.58792721044,66.5827337673931,352.0287569642106,15.572986763684376,9.619034542012411,8.066627617622267,178.39421996132498,17.787506370931723,168.11055790568847,35.767738648133104,27.403098793898497,1158.3843898999912
67,159326.7609509,1,-3.96836644899711,-316946.82373507856,36.09610190093926,238.3414403590542,7.095930947381356,44.979727241983014,6.244995291517216,52.61189558842038,71.16200604353934,152.8414943238685,26.78594119600516,4.1579296581540195,1178.2292786999897
68,159348.7205017,1,-2.5206071077659664,-399475.83308185305,28.58246399204477,324.5771050288666,13.487018468957242,44.54708841128355,4.965666493962394,167.68993543864653,55.68154434009047,209.40538045290998,178.74480969453356,9.963156962109842,1200.1888294999953
69,159367.3409009,1,-3.2495336928105076,-289163.28884970996,33.69753149142224,323.6309258910773,6.9241748441797615,44.61127965803706,5.11862041303597,52.47029549638615,12.016146841214805,154.59068889963854,180.35797735603563,11.426740108950593,1218.8092286999745
70,159386.7855974,1,-2.189220113904093,-401224.21740302746,25.278192616639664,246.2395673532577,13.956183068355536,44.984230497034446,6.200211865504848,170.18535849150174,50.385049536076636,205.18592556620385,29.688920364468956,4.607648026021078,1238.2539251999988
71,159406.8540218,1,-2.3981604125927314,-384217.38035745913,64.73173758987132,229.40631411241912,11.15119924821525,44.42484979233397,6.43079744439109,49.54064508394076,7.81858957047389,168.08610619637992,55.37963424041268,28.439155528672437,1258.3223495999991
72,159426.2772192,1,-1.9990089873602344,-133033.57186180848,40.59395347289359,350.09231950239416,9.783088474516138,13.379670481870896,5.690176276978849,45.90711926178026,43.01217886913333,155.64255590787408,158.8972788218973,15.827420062573527,1277.7455469999986
73,159444.2320146,1,-2.4212535292158934,-384296.66984307265,39.64323617887621,354.5011111509849,10.319096348661791,47.046732522421074,5.569820648394872,198.23171060031177,43.01217886913333,153.0786142098468,170.96996410450143,26.143069654047018,1295.7003423999995
74,159461.3679328,1,-2.993454948745088,-337363.18389443617,47.0458296695945,350.1009772944068,14.890821486649402,32.95971434693199,8.066627617622267,36.06789124889997,17.787506370931723,175.60618170954675,36.34570994452971,27.403098793898497,1312.8362605999864
75,159478.8961063,1,0.8117556908357353,-29428.142995159127,104.65414538887856,238.4159242961591,14.287498338158613,46.76219896675684,5.688298796727382,129.04715642538375,49.886862980551584,152.97852098153535,170.96996410450143,7.783448223043671,1330.364434099989
76,159501.0064675,1,-3.4735007221206717,-328306.8637346195,36.09610190093926,341.2697061962267,9.72139577970584,45.2011801130627,5.853272418904853,52.78084570982663,50.770424174774405,186.91571662359948,31.384277158030645,28.64468608367072,1352.4747952999896
77,159523.0383133,1,-2.305897281800541,-377696.3073913392,42.12653420439804,269.89928019540514,11.123509874128356,37.21479548760057,5.589228292183501,59.776938602850755,3.1222467045181475,170.6395853607595,174.8627948728447,27.95019736053708,1374.5066410999862
78,159543.6192577,1,-2.752386389338795,-385965.4430310132,23.80236223901508,230.82003170655733,10.051510628388158,42.82484873649884,6.432343808075115,121.09085806377452,43.12593477460823,199.33448467906354,79.57725544191204,27.79032491669917,1395.0875854999758
79,159563.4080063,1,-2.2701586897784063,-388086.4622425816,47.0293756028632,349.943733636062,15.426830048590276,44.93295403260213,7.77514056302835,190.72675616019373,17.011500907158762,175.60618170954675,31.518861985969338,27.403098793898497,1414.8763340999722
80,159583.1021029,1,-3.860388431318693,-244379.51039067213,33.69753149142224,245.2945530776784,7.153747801550662,33.07678512853434,6.244995291517216,35.19339461661163,50.81910769154335,168.64682916101054,36.21112511723247,4.72126314768867,1434.5704306999978
81,159603.548176,1,-4.393910022028766,-281777.3879249885,36.09610190093926,341.2697061962267,7.087932343597697,45.2011801130627,5.853272418904853,52.78084570982663,50.770424174774405,186.7263335374415,31.60000224055545,4.139451531589925,1455.0165037999977
82,159624.4850973,1,-2.983466261205745,-361779.88375505887,36.09610190093926,238.3414403590542,9.872498311757521,44.979727241983014,6.244995291517216,52.61189558842038,71.16200604353934,153.17738315304845,26.570216249499737,30.548188902909786,1475.953425099986
83,159640.8226743,1,-4.056503910048157,-311509.05463116674,33.189875040011735,253.32723531071613,7.113686703686893,44.979727241983014,6.244995291517216,52.47029549638615,50.04259561524147,154.04823181227007,31.384277158030645,4.72126314768867,1492.2910020999843
84,159665.3401343,1,-2.1326993707542554,-408377.0498363014,45.75066827550692,229.40631411241912,11.123509874128356,47.05846776109697,6.370740032405648,49.544650909051654,3.7309900865690437,172.63891507840552,164.76102187124727,21.160696079677983,1516.808462099987
85,159687.9806707,1,-3.2962981375197544,-348016.78847982816,23.80236223901508,271.3129403396362,10.036105911936748,37.54877088531437,5.650832067853557,121.09085806377452,69.76588220000906,171.41354650190783,74.09028530026016,17.927820242022104,1539.4489984999818
86,159712.3558817,1,-3.023176818911202,-358799.0500747153,46.11264154869633,215.94291215043893,10.71166314989761,34.3653705082119,6.43079744439109,61.32854854486472,0.5425455111575759,198.55919237433142,54.74906327206064,19.682279834680088,1563.8242094999878
87,159735.8894935,1,-2.591501943642557,-381844.0731723219,61.70570560027821,281.8299580582529,15.426830048590276,32.30156505168203,4.951894356659915,166.63632295025994,53.206941024178384,175.60618170954675,35.32688651895261,27.407401433557702,1587.3578212999855
88,159758.043242,1,-2.387440440028803,-401600.2927672467,28.626904058893146,324.5771050288666,13.883198466260412,45.274623412921976,8.080388212332279,191.77672169849646,24.69517857710187,209.40538045290998,178.74480969453356,9.963156962109842,1609.5115698000009
89,159779.8626727,1,-2.6455566096510967,-372917.6167617805,47.0293756028632,349.87612122556186,13.428618476463148,45.863220537156764,8.043544325171894,168.89459399389543,17.787506370931723,175.60618170954675,23.547571518864668,27.403098793898497,1631.3310004999803
90,159800.0947778,1,-2.7697430752366694,-386768.6616371784,28.58246399204477,324.6437849698319,15.485230040468949,31.710343666323638,4.965666493962394,189.52139017820832,55.68154434009047,209.40538045290998,178.74480969453356,9.963156962109842,1651.5631055999838
91,159821.3667574,1,-3.3597986360741685,-334883.6355996563,36.09610190093926,341.2697061962267,9.72139577970584,48.03200345701768,5.853272418904853,55.43600822508907,50.770424174774405,186.91571662359948,31.384277158030645,28.64468608367072,1672.8350852000003
92,159828.23239,1,-2.866743511087506,-365167.54800780735,47.564329744049715,349.943733636062,15.426830048590276,33.03034074153847,8.066627617622267,197.0877067771898,17.787506370931723,175.60618170954675,36.34570994452971,27.403098793898497,1679.7007177999767
93,159834.8680291,1,-2.7544455604504523,-386105.89094153984,23.80236223901508,230.82003170655733,10.051510628388158,42.82484873649884,6.432343808075115,121.09085806377452,43.12593477460823,202.33986569829977,79.57725544191204,27.79032491669917,1686.336356899992
94,159841.7880353,1,-2.1002061570187367,-408617.30803351547,57.20916155058379,229.40631411241912,11.123509874128356,47.05846776109697,6.370740032405648,49.544650909051654,3.7309900865690437,172.63891507840552,164.5744613092585,21.160696079677983,1693.256363099994
95,159848.4797711,1,-3.2721777236839293,-353249.1364356384,25.818491252161262,269.97899932199846,10.052164107244351,38.48827273261974,5.650832067853557,121.09085806377452,6.1867732347178155,199.33448467906354,74.09028530026016,17.927820242022104,1699.9480989000003
96,159855.1962921,1,-3.0814857593798726,-355700.8811470345,49.02970220738504,226.19310900689885,10.695604954590006,34.58263790537823,6.43079744439109,61.32854854486472,63.65626025728105,163.438013818261,55.47305608995258,19.60779495062437,1706.6646198999952
97,159867.6515296,1,-2.046483965784684,-406537.90963691025,25.7285439862194,202.99296607335384,11.123509874128356,39.33769124653561,6.370740032405648,49.544650909051654,3.5706714676208904,170.6395853607595,173.66506975138893,28.505327717368168,1719.1198573999864
98,159889.6632104,1,-3.085782786314404,-370356.5175723383,34.154186251327076,269.710322317316,10.051510628388158,43.81321457507498,5.650832067853557,121.09085806377452,61.8106008767034,199.33448467906354,75.26260170403353,17.927820242022104,1741.1315381999884
99,159910.0342684,1,-1.6969597258376934,-444270.6242368462,26.02330559841846,226.91148202862416,13.76475406396213,44.61578291308849,6.119802337716912,170.18535849150174,12.778257562161265,171.45353434018662,177.66076583858836,26.874566362431374,1761.5025961999781
100,159929.5723001,1,-2.8774611624186646,-360862.6926852747,41.38142521265638,327.08817080122924,11.123509874128356,43.353168537480876,5.244228053619552,49.544650909051654,7.159911713681228,207.8569411526261,174.8988600757171,12.351755374502467,1781.0406278999872
101,159948.8092307,1,-2.668216265537361,-395186.2855486508,34.154186251327076,269.710322317316,10.045375376731572,44.54409007678298,5.589409220093718,169.66731594148624,61.89725819037653,201.3684582535728,180.96919224103283,17.51909958075978,1800.2775584999763
102,159966.8353274,1,-2.7018322786972186,-378769.5937516892,28.58246399204477,324.5771050288666,13.493153741620382,43.816212909575555,5.02708934172224,119.11316466199,55.59488702641534,209.41114393689816,72.91578245479559,10.37188451468865,1818.3036551999976
103,159987.9513479,1,-4.075401316303695,-305644.92987904797,30.029349815656644,260.3884927513099,7.113686703686893,45.195809418883854,7.6014620605741765,52.77295161906458,50.023307832056254,154.04823181227007,31.588232922883524,4.72126314768867,1839.4196756999881
104,160006.8126478,1,-4.289375228038799,-295033.5359866274,41.5705772422608,334.1747149836146,7.6511475149539345,44.985097936161864,6.319025387702789,52.4781895871482,50.78971195795962,186.7263335374415,31.396046475702573,4.139451531589925,1858.280975599977
105,160025.951831,1,-2.036876219882854,-421522.9129914417,29.606399004105477,324.6437849698319,15.485230040468949,48.02988940405541,5.110821422367708,193.82994981689538,50.867969334988864,209.40538045290998,178.74480969453356,9.963156962109842,1877.4201587999996
106,160043.4389223,1,-3.796823052332489,-284960.0170213418,36.09610190093926,339.22197978943757,9.72139577970584,31.56298466375755,5.853272418904853,55.43600822508907,55.583999179876,182.87902381685007,31.384277158030645,28.64468608367072,1894.90725009999
107,160063.5012978,1,-2.193430471679597,-401359.629370249,35.68539667530685,229.40631411241912,9.72768138659201,47.05846776109697,5.846538702761821,49.302237114025424,0.6454774484168491,172.63891507840552,166.52196341959186,28.892109695246756,1914.9696255999734
108,160080.7793963,1,-3.3837786757721515,-337988.749480951,57.61986792808679,341.2697061962267,9.73109457723256,48.03200345701768,6.365855715999961,58.78007679379853,50.770424174774405,186.91571662359948,31.384277158030645,20.913272351689436,1932.247724099987
109,160100.9131197,1,-2.178745470890896,-416404.0234934645,57.42143986676635,226.96318165057951,11.123509874128356,43.541939856603506,6.759153097256298,179.2170912565702,3.8816741619679744,172.63891507840552,164.5744613092585,21.160696079677983,1952.3814474999963
110,160122.7057776,1,-1.7058802052332298,-430070.70636865724,25.811425668007583,229.35461449046377,13.76475406396213,44.86210782095334,6.124240905208024,41.3330944315738,12.627839683073246,171.45353434018662,177.66076583858836,26.874566362431374,1974.1741053999867
111,160140.895054,1,-2.5751219215843673,-382800.18695638445,28.614010175469463,270.36468143466556,13.959706491096881,38.48827273261974,5.650832067853557,122.37936904234492,6.1867732347178155,197.29819411398583,74.09028530026016,10.106615641989082,1992.3633817999798
112,160152.8005905,1,-2.783350563621687,-376015.53187629406,25.831385135585016,324.19129406952396,9.975656183218716,45.274623412921976,8.080388212332279,190.32953055204908,21.486232852025076,209.40538045290998,178.74480969453356,17.784368965002237,2004.2689182999893
113,160159.1121978,1,-2.387440440028803,-401600.2927672467,28.626904058893146,324.5771050288666,13.883198466260412,45.274623412921976,8.080388212332279,191.77672169849646,24.69517857710187,209.40538045290998,178.74480969453356,9.963156962109842,2010.580525599973
114,160171.9313136,1,-3.955669861536289,-317209.83848985174,36.09610190093926,238.3414403590542,7.095930947381356,44.979727241983014,6.244995291517216,52.61189558842038,71.16200604353934,152.8414943238685,31.384277158030645,4.1579296581540195,2023.3996413999994
115,160191.2780418,1,-4.31746714633945,-273648.22969109076,36.09610190093926,354.47297104350554,7.095930947381356,44.979727241983014,5.8854956311975775,52.76464513876219,71.16200604353934,152.10224065509442,35.49862450455324,4.1579296581540195,2042.7463695999759
