Iteration,Eval,New simulations,Time [min],NPV_over_CAPEX,clearance [m],sp [W/m2],p_rated [MW],Nwt,wind_MW_per_km2 [MW/km2],solar_MW [MW],surface_tilt [deg],surface_azimuth [deg],DC_AC_ratio,b_P [MW],b_E_h [h],cost_of_battery_P_fluct_in_peak_price_ratio
3,78,22,1.82,-0.799004217,59.70075,360,10.406375,26.450375,9.400375,140.89525,24.20325,188.1075,1.479,20,4,8.75
3,79,22,1.82,0.834730276,120,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,188.1075,1.479,20,4,8.75
4,78,22,1.9,-0.710169047,10,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
4,79,22,1.9,-0.566884248,12.90125,215.772,5.513375,28.691375,9.856225,183.02125,77.55075,158.5035,1.479,20,4,8.75
4,80,22,1.9,-0.768695843,42.93125,223.5,8.247125,30.241625,9.877375,115.87975,52.26525,192.0915,1.479,20,4,8.75
4,81,22,1.9,-0.711845301,46.96275,208.212,6.188375,28.792625,9.956575,151.03575,67.85325,194.3865,1.479,20,4,8.75
4,82,22,1.9,-0.725992688,48.89325,207.852,7.551125,27.100625,9.988525,119.27125,40.35375,181.9965,1.479,20,4,8.75
4,83,22,1.9,-0.753217036,53.18325,244.108,6.660125,29.411375,9.235225,195.21025,46.05975,179.0235,1.479,20,4,8.75
4,84,22,1.9,-0.77089623,59.70075,200,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
4,85,22,1.9,-0.62676828,59.70075,335.468,5,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
4,86,22,1.9,-0.366103681,59.70075,335.468,10.406375,5,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
4,87,22,1.9,0.827153506,59.70075,335.468,10.406375,26.450375,1,140.89525,24.20325,210,1.479,20,4,8.75
4,88,22,1.9,-0.829175588,59.70075,335.468,10.406375,26.450375,9.400375,30,24.20325,210,1.479,20,4,8.75
4,89,22,1.9,-0.770571494,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,0,210,1.479,20,4,8.75
4,90,22,1.9,-0.786431762,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,150,1.479,20,4,8.75
4,91,22,1.9,-0.833578868,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
4,92,22,1.9,-0.80793419,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,90,210,1.479,20,4,8.75
4,93,22,1.9,-0.829543235,59.70075,335.468,10.406375,26.450375,9.400375,200,24.20325,210,1.479,20,4,8.75
4,94,22,1.9,-0.829713679,59.70075,335.468,10.406375,26.450375,10,140.89525,24.20325,210,1.479,20,4,8.75
4,95,22,1.9,-0.572082614,59.70075,335.468,10.406375,50,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
4,96,22,1.9,-0.420995442,59.70075,335.468,20,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
4,97,22,1.9,-0.811349071,59.70075,360,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
4,98,22,1.9,-0.713668956,68.22025,207.204,6.800375,28.790375,9.793225,116.37275,80.43975,170.9055,1.479,20,4,8.75
4,99,22,1.9,0.82351023,120,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
5,97,22,2.45,-0.641910088,10.47025,349.828,7.716875,34.174625,9.882775,76.34625,80.08425,187.8495,1.479,20,4,8.75
5,98,22,2.45,-0.534944572,10.91025,321.34,5.034125,34.041875,9.518275,78.97275,44.17875,200.3715,1.479,20,4,8.75
5,99,22,2.45,-0.382717484,11.31175,356.412,5.191625,26.081375,9.879625,168.30775,69.61725,170.6475,1.479,20,4,8.75
5,100,22,2.45,-0.313455145,13.97925,202.588,8.274875,6.513125,9.537625,165.47725,89.47125,200.7465,1.479,20,4,8.75
5,101,22,2.45,-0.19606952,16.22875,201.164,6.043625,6.488375,9.659575,162.23025,88.40925,184.9065,1.479,20,4,8.75
5,102,22,2.45,-0.516967886,24.45125,351.252,5.242625,27.593375,9.387325,194.19025,84.10725,190.6695,1.479,20,4,8.75
5,103,22,2.45,-0.767261731,32.92609354,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
5,104,22,2.45,-0.846890224,59.70075,296.5230452,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
5,105,22,2.45,-0.721537266,59.70075,335.468,6.755285483,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
5,106,22,2.45,-0.69862584,59.70075,335.468,10.406375,15.49710645,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
5,107,22,2.45,-0.853658241,59.70075,335.468,10.406375,26.450375,7.20972129,140.89525,24.20325,210,1.479,20,4,8.75
5,108,22,2.45,-0.833670455,59.70075,335.468,10.406375,26.450375,9.400375,99.51623547,24.20325,210,1.479,20,4,8.75
